coh_tot,coh_avg,coh_avg_pond,topics,seed
0.3702653395760483,0.1851326697880241,0.5,2,420
0.3702653395760483,0.1851326697880241,0.5,2,421
0.3702653395760483,0.1851326697880241,0.5,2,422
0.3702653395760483,0.1851326697880241,0.5,2,423
0.3702653395760483,0.1851326697880241,0.5,2,424
0.4067578061512329,0.1355859353837443,0.3333333333333333,3,420
0.3921672200674629,0.1307224066891543,0.3333333333333333,3,421
0.3921672200674629,0.1307224066891543,0.3333333333333333,3,422
0.4151748629595245,0.1383916209865081,0.3333333333333333,3,423
0.3937773080226603,0.1312591026742201,0.3333333333333333,3,424
0.4406057638206452,0.1101514409551613,0.25,4,420
0.4169041744600463,0.1042260436150115,0.25,4,421
0.42992554397047,0.1074813859926175,0.25,4,422
0.4026701720442992,0.1006675430110748,0.25,4,423
0.4313853763555011,0.1078463440888752,0.25,4,424
0.4008215551581303,0.080164311031626,0.1999999999999999,5,420
0.4423754303029343,0.0884750860605868,0.2,5,421
0.4236002609537072,0.0847200521907414,0.2,5,422
0.4900475778305941,0.0980095155661188,0.2,5,423
0.5478274857858398,0.1095654971571679,0.2,5,424
0.2231350027668783,0.037189167127813,0.1666666666666666,6,420
0.5423098146421829,0.0903849691070304,0.1666666666666666,6,421
0.5483281493966077,0.0913880248994346,0.1666666666666666,6,422
0.5185243338678183,0.086420722311303,0.1666666666666666,6,423
0.4449724731875935,0.0741620788645989,0.1666666666666666,6,424
0.2544981150200164,0.036356873574288,0.1428571428571428,7,420
0.4810839531434444,0.068726279020492,0.1428571428571428,7,421
0.590981502921802,0.0844259289888288,0.1428571428571428,7,422
0.5936327457095453,0.0848046779585064,0.1428571428571428,7,423
0.4372731932785175,0.0624675990397882,0.1428571428571428,7,424
0.2956088898305682,0.036951111228821,0.125,8,420
0.540517134331181,0.0675646417913976,0.125,8,421
0.6580212989523251,0.0822526623690406,0.1249999999999999,8,422
0.6595974550284919,0.0824496818785614,0.1249999999999999,8,423
0.5986113253063372,0.0748264156632921,0.125,8,424
0.2470361116312044,0.0274484568479116,0.1111111111111111,9,420
0.3894021424929286,0.0432669047214365,0.1111111111111111,9,421
0.3704422713729333,0.0411602523747703,0.1111111111111111,9,422
0.7640221553929125,0.0848913505992125,0.1111111111111111,9,423
0.7127603386676382,0.0791955931852931,0.1111111111111111,9,424
0.2754834946800242,0.0275483494680024,0.1,10,420
0.0182270108794537,0.0018227010879453,0.0999999999999999,10,421
0.5092528267655658,0.0509252826765565,0.1,10,422
0.7685029795850443,0.0768502979585044,0.0999999999999999,10,423
0.6242519811299562,0.0624251981129956,0.0999999999999999,10,424
0.3415196174550548,0.0310472379504595,0.0909090909090909,11,420
0.6702473996690805,0.0609315817880982,0.0909090909090908,11,421
0.5361923477578961,0.0487447588870814,0.0909090909090909,11,422
0.8234081475145181,0.0748552861376834,0.0909090909090909,11,423
0.557004769548613,0.050636797231692,0.0909090909090908,11,424
0.4702243520720306,0.0391853626726692,0.0833333333333333,12,420
0.1376285034305449,0.0114690419525454,0.0833333333333333,12,421
0.5647815292287143,0.0470651274357261,0.0833333333333333,12,422
0.3540180652974492,0.0295015054414541,0.0833333333333333,12,423
0.5773109317521947,0.0481092443126828,0.0833333333333333,12,424
0.2223434021229511,0.0171033386248423,0.0769230769230768,13,420
-0.2937336659946836,-0.0225948973842064,0.0769230769230769,13,421
0.4902667809004871,0.0377128293000374,0.0769230769230769,13,422
0.7115853110871867,0.0547373316220913,0.0769230769230769,13,423
1.0044001164091143,0.0772615474160857,0.0769230769230769,13,424
0.5146344315616023,0.0367596022544001,0.0714285714285714,14,420
-0.338823237466808,-0.0242016598190577,0.0714285714285714,14,421
0.5092343425169419,0.0363738816083529,0.0714285714285714,14,422
0.6937570270403028,0.0495540733600216,0.0714285714285714,14,423
0.9106193174277828,0.0650442369591273,0.0714285714285714,14,424
0.0713369520893214,0.0047557968059547,0.0666666666666667,15,420
0.2690560563432113,0.0179370704228807,0.0666666666666666,15,421
0.3441150336348476,0.0229410022423231,0.0666666666666666,15,422
0.727468134033452,0.0484978756022301,0.0666666666666666,15,423
-0.0059197432053945,-0.0003946495470263,0.0666666666666679,15,424
0.6770181531196384,0.0423136345699774,0.0625,16,420
-0.29667656837429,-0.0185422855233931,0.0625,16,421
0.7253646976811624,0.0453352936050726,0.0624999999999999,16,422
0.6090308561521395,0.0380644285095087,0.0624999999999999,16,423
0.925272662515987,0.0578295414072491,0.0624999999999999,16,424
0.1505448847787999,0.0088555814575764,0.0588235294117647,17,420
0.3425763483667215,0.0201515499039247,0.0588235294117647,17,421
0.7409816816670656,0.0435871577451215,0.0588235294117647,17,422
0.7192430003895779,0.0423084117876222,0.0588235294117647,17,423
0.6920163543694131,0.0407068443746713,0.0588235294117647,17,424
-0.2051697258098322,-0.0113983181005462,0.0555555555555555,18,420
-0.0117588718193908,-0.0006532706566328,0.0555555555555552,18,421
0.8221844022783803,0.0456769112376877,0.0555555555555555,18,422
1.0553631679029538,0.0586312871057196,0.0555555555555555,18,423
-0.0241130454890095,-0.0013396136382783,0.0555555555555554,18,424
0.191276064455317,0.0100671612871219,0.0526315789473684,19,420
-0.1396685515065581,-0.007350976395082,0.0526315789473684,19,421
1.0222386606019274,0.0538020347685224,0.0526315789473684,19,422
0.5202856280704643,0.0273834541089718,0.0526315789473684,19,423
1.1899692078138635,0.0626299583059928,0.0526315789473684,19,424
-0.1190929083359384,-0.0059546454167969,0.05,20,420
0.1581029688615185,0.0079051484430759,0.05,20,421
0.4266510386435576,0.0213325519321778,0.05,20,422
